value 1,value 2
517,75
612,75
761,75
1537,75
7463,75
519,75
638,75
748,75
1473,75
7540,75
480,75
630,75
733,75
1488,75
7520,75
483,75
671,75
730,75
1509,75
7535,75
510,75
665,75
768,75
1534,75
7468,75
483,75
688,75
729,75
1480,75
7525,75
501,75
642,75
726,75
1488,75
7509,75
472,75
633,75
784,75
1492,75
7513,75
509,75
682,75
727,75
1472,75
7532,75
522,75
678,75
739,75
1502,75
7495,75
482,75
644,75
741,75
1496,75
7510,75
518,75
611,75
739,75
1473,75
7478,75
491,75
648,75
771,75
1489,75
7507,75
523,75
645,75
712,75
1497,75
7517,75
514,75
669,75
773,75
1529,75
7513,75
496,75
612,75
787,75
1470,75
7494,75
530,75
615,75
756,75
1512,75
7517,75
531,75
642,75
741,75
1514,75
7463,75
488,75
660,75
719,75
1527,75
7534,75
501,75
680,75
753,75
1463,75
7507,75
487,75
646,75
722,75
1501,75
7501,75
484,75
662,75
733,75
1504,75
7539,75
526,75
636,75
714,75
1507,75
7498,75
490,75
642,75
763,75
1489,75
7539,75
477,75
614,75
749,75
1536,75
7515,75
519,75
666,75
724,75
1489,75
7485,75
466,75
642,75
754,75
1493,75
7522,75
465,75
635,75
739,75
1479,75
7515,75
505,75
614,75
752,75
1523,75
7507,75
496,75
642,75
737,75
1535,75
7487,75
529,75
618,75
781,75
1537,75
7529,75
537,75
646,75
774,75
1499,75
7523,75
501,75
670,75
734,75
1476,75
7521,75
540,75
645,75
756,75
1498,75
7488,75
469,75
658,75
783,75
1533,75
7529,75
465,75
662,75
737,75
1510,75
7539,75
470,75
631,75
785,75
1469,75
7514,75
512,75
624,75
769,75
1498,75
7507,75
527,75
650,75
746,75
1486,75
7463,75
472,75
656,75
710,75
1504,75
7533,75
506,75
675,75
737,75
1501,75
7533,75
485,75
661,75
737,75
1503,75
7530,75
516,75
684,75
780,75
1509,75
7540,75
524,75
619,75
721,75
1489,75
7466,75
528,75
690,75
724,75
1475,75
7470,75
467,75
650,75
751,75
1507,75
7463,75
518,75
688,75
743,75
1469,75
7487,75
466,75
662,75
746,75
1470,75
7488,75
501,75
654,75
726,75
1526,75
7477,75
530,75
654,75
776,75
1513,75
7535,75
497,75
679,75
772,75
1483,75
7463,75
473,75
639,75
788,75
1518,75
7470,75
512,75
671,75
729,75
1530,75
7507,75
501,75
640,75
785,75
1530,75
7470,75
469,75
636,75
736,75
1507,75
7497,75
474,75
681,75
772,75
1464,75
7473,75
497,75
679,75
726,75
1474,75
7530,75
518,75
635,75
785,75
1522,75
7513,75
465,75
625,75
772,75
1497,75
7476,75
518,75
686,75
710,75
1493,75
7481,75
515,75
616,75
729,75
1531,75
7496,75
473,75
644,75
726,75
1504,75
7501,75
485,75
679,75
767,75
1483,75
7512,75
514,75
646,75
718,75
1494,75
7493,75
498,75
645,75
721,75
1484,75
7533,75
462,75
665,75
764,75
1466,75
7487,75
500,75
644,75
773,75
1524,75
7517,75
470,75
678,75
736,75
1509,75
7502,75
508,75
682,75
718,75
1480,75
7534,75
495,75
620,75
774,75
1478,75
7518,75
479,75
660,75
789,75
1511,75
7528,75
470,75
610,75
725,75
1501,75
7518,75
485,75
658,75
713,75
1467,75
7480,75
495,75
676,75
723,75
1491,75
7461,75
539,75
655,75
782,75
1465,75
7516,75
528,75
611,75
725,75
1470,75
7507,75
540,75
649,75
745,75
1516,75
7515,75
504,75
621,75
788,75
1497,75
7516,75
524,75
679,75
787,75
1502,75
7514,75
470,75
664,75
772,75
1471,75
7520,75
477,75
641,75
711,75
1513,75
7529,75
516,75
669,75
715,75
1472,75
7522,75
481,75
625,75
754,75
1495,75
7520,75
505,75
612,75
756,75
1528,75
7517,75
480,75
680,75
763,75
1461,75
7524,75
466,75
638,75
760,75
1496,75
7508,75
521,75
680,75
733,75
1517,75
7462,75
493,75
685,75
766,75
1500,75
7464,75
469,75
627,75
748,75
1490,75
7519,75
466,75
671,75
737,75
1516,75
7488,75
494,75
613,75
777,75
1476,75
7506,75
506,75
659,75
750,75
1524,75
7475,75
536,75
650,75
779,75
1502,75
7464,75
462,75
685,75
783,75
1485,75
7495,75
469,75
685,75
755,75
1471,75
7509,75
498,75
647,75
774,75
1490,75
7540,75
538,75
641,75
762,75
1514,75
7519,75
540,75
682,75
744,75
1476,75
7468,75
534,75
679,75
766,75
1501,75
7460,75
483,75
676,75
787,75
1464,75
7477,75
477,75
668,75
761,75
1510,75
7491,75
535,75
641,75
789,75
1469,75
7537,75
466,75
638,75
742,75
1477,75
7491,75
486,75
641,75
774,75
1497,75
7538,75
527,75
658,75
764,75
1479,75
7532,75
539,75
681,75
744,75
1531,75
7524,75
517,75
686,75
716,75
1485,75
7507,75
497,75
643,75
750,75
1465,75
7494,75
514,75
643,75
748,75
1496,75
7485,75
484,75
688,75
754,75
1488,75
7532,75
522,75
621,75
755,75
1533,75
7491,75
523,75
669,75
767,75
1506,75
7473,75
509,75
687,75
780,75
1508,75
7528,75
495,75
688,75
770,75
1488,75
7531,75
513,75
666,75
724,75
1503,75
7487,75
499,75
619,75
757,75
1523,75
7515,75
467,75
687,75
744,75
1502,75
7534,75
461,75
633,75
773,75
1486,75
7528,75
505,75
647,75
729,75
1533,75
7497,75
489,75
669,75
754,75
1528,75
7491,75
491,75
648,75
780,75
1503,75
7492,75
478,75
678,75
760,75
1498,75
7479,75
485,75
686,75
751,75
1536,75
7464,75
471,75
689,75
715,75
1538,75
7536,75
515,75
679,75
786,75
1472,75
7468,75
498,75
660,75
748,75
1517,75
7467,75
479,75
678,75
746,75
1522,75
7516,75
497,75
616,75
740,75
1526,75
7484,75
519,75
640,75
748,75
1516,75
7504,75
460,75
616,75
756,75
1535,75
7505,75
527,75
671,75
783,75
1481,75
7500,75
473,75
645,75
778,75
1521,75
7531,75
522,75
666,75
745,75
1540,75
7511,75
505,75
656,75
716,75
1473,75
7532,75
501,75
642,75
786,75
1466,75
7540,75
534,75
644,75
729,75
1481,75
7460,75
517,75
680,75
726,75
1483,75
7469,75
491,75
659,75
783,75
1516,75
7462,75
527,75
629,75
772,75
1538,75
7511,75
539,75
667,75
747,75
1464,75
7510,75
484,75
624,75
754,75
1536,75
7532,75
505,75
612,75
741,75
1524,75
7522,75
461,75
617,75
781,75
1464,75
7516,75
517,75
672,75
738,75
1475,75
7464,75
490,75
653,75
719,75
1480,75
7527,75
506,75
663,75
740,75
1479,75
7533,75
496,75
672,75
745,75
1518,75
7486,75
519,75
615,75
752,75
1494,75
7514,75
464,75
610,75
730,75
1511,75
7487,75
470,75
645,75
749,75
1529,75
7512,75
473,75
632,75
776,75
1519,75
7524,75
533,75
668,75
739,75
1526,75
7524,75
523,75
680,75
747,75
1467,75
7468,75
460,75
643,75
736,75
1531,75
7492,75
473,75
617,75
785,75
1484,75
7477,75
461,75
621,75
788,75
1497,75
7492,75
482,75
675,75
722,75
1516,75
7508,75
533,75
683,75
785,75
1514,75
7477,75
534,75
643,75
753,75
1500,75
7466,75
490,75
680,75
730,75
1513,75
7504,75
522,75
690,75
766,75
1485,75
7493,75
520,75
661,75
712,75
1483,75
7487,75
462,75
618,75
779,75
1501,75
7537,75
521,75
653,75
773,75
1464,75
7503,75
536,75
667,75
782,75
1519,75
7521,75
486,75
664,75
761,75
1502,75
7504,75
470,75
628,75
710,75
1476,75
7470,75
518,75
666,75
760,75
1488,75
7525,75
476,75
652,75
741,75
1508,75
7489,75
461,75
645,75
758,75
1540,75
7502,75
533,75
661,75
762,75
1530,75
7485,75
493,75
616,75
788,75
1508,75
7530,75
510,75
641,75
742,75
1487,75
7530,75
516,75
660,75
725,75
1476,75
7508,75
524,75
647,75
787,75
1507,75
7474,75
473,75
658,75
736,75
1468,75
7515,75
504,75
614,75
730,75
1540,75
